text,label
回复 bingor-:明天没有，但是星期三早上11：30会直播洛杉矶湖人vs洛杉矶快艇！希望大家可以支持一下！ bingor-:明天早上热火对魔术 有直播嘛？ 广州电视竞赛频道篮球特区:转发微博。$LOTOzf$  新浪NBA：『湖人再签人顶替奥多姆』墨菲已经同湖人达成了一份1年的合同。 作为一名擅长投射的内线，墨菲上个赛季的表现几乎让人遗忘了他的存在。在新泽西篮网和波士顿凯尔特人之间辗转，仅出场35次，场均只有13.1分钟的上场时间，仅有3.1分和3.2个篮板的表现。墨菲真能恢复往日的雄风吗? http:t.cn/Scgh6N    转发(83)|评论(46)12月18日 09:52 来自新浪微博            ,sports
美兰湖上海名人赛 关注下吧，我比较喜欢McIlroy，这小子专注打球的冲劲无与伦比，经过美国名人赛的失落之后，刹那间成熟了，尤其是在美国公开赛上的表现，希望这次美兰湖也是这小子拿冠军。$LOTOzf$,sports
自体脂肪隆胸又被称为“绿色丰胸术”，在20世纪80年代开始就已经在美国盛行。如今自体脂肪隆胸技术已相当成熟，手术安全性也很高。,woman
苦瓜减肥据研究发现，苦瓜里含有的苦瓜素，能使人体减少对脂肪和多糖的摄取。每天服用1毫克该成分，可阻止吸收100克左右的脂肪。苦瓜要生吃才能收到瘦身减肥的效果，而且一天要生吃2到3条才可以。脾虚胃寒者不应生吃苦瓜。孕妇也应慎食。$LOTOzf$,woman
湖人获魔兽将压倒热火 皇帝冠军梦或推迟三年  http:url.cn/0tShPc  (分享自 腾讯体育 )$LOTOzf$,sports
《小说选刊》是由中国作家协会主管的一份权威文学选本，创办于1980年，由茅盾先生倡导创刊并题写刊名。《小说选刊》从全国120余种公开出版发行的文学刊物和40余种重要报纸中选稿。所选作品代表了当下中国小说创作的最高成就和最新成果，全面反映了中国小说创作的面貌。现任主编杜卫东。标签：$LOTOzf$,literature
"足球比赛我看得多啦，我懂得有关足 球的一切知识。” “是吗？那你告诉 我，足球网有多少窟窿眼儿 ""$LOTOzf$",sports
http:url.cn/2WdKuz 年度最佳连载漫画的投票今天是最后一天了哦！现在朱斌 的《爆笑校园》和夏达 的《子不语》名列前二哦！还有大家喜欢的《乌龙院》、《兔子帮》也在榜单里哦！快抓紧最后时间为喜欢的作品投票吧~$LOTOzf$,literature
怀孕32周（含）至36周的孕妇旅客乘机，须咨询所要乘坐的航空公司，在航空公司同意的情况下，还需提供县市级以上医院开具的适宜乘机的诊断说明书。诊断说明书须在离乘机时间72小时以内开具有检查医院的盖章和医生签字，有“××日前适宜乘机”字样方为有效。 怀孕超过36周的孕妇旅客不宜乘机。				$LOTOzf$,woman
巴里亚正式加盟森林狼http:url.cn/3YOyZb$LOTOzf$,sports
如果说想要脸变白，你可以选择黑脸娃娃或者果酸换肤等等，但是想要全身变色，你得学会沐浴。将精油、粗盐、生姜、菊花、樱花、菖蒲、无花果等其中的一种放到准备好的木桶里，泡上10—15分钟左右，精油成分和各种维生素以及矿物质会在肌肤表面形成薄薄的涂层，发挥美肤和浴后保温的功效哦。				$LOTOzf$,woman
甘肃幼儿园校车车祸11月16日9时40分许，甘肃省庆阳市正宁县榆林子镇发生一起交通事故，该镇幼儿园接送校车被撞。事故已造成18名幼儿、一名司机及一名陪护教师死亡，经过核实，发生事故的校车核载9人，实载64人！——我想说，不会保护孩子的民族，没有未来！$LOTOzf$,campus
五套本周预计直播：周六03：30拜仁科隆周日01：30沙尔克04不来梅03：34米兰锡耶纳22：00尤文诺瓦拉周一凌晨拉齐奥乌迪内或者西甲，具体请以五套节目预告为准风云足球：风云足球本周末直播预告：16日18：4520112012赛季欧冠16强抽强仪式17日17：30五人制甲级联赛第10轮浙江黄龙三大湖大武汉地龙22：30弗赖堡多特蒙德18日05：00塞维利亚皇家马德里22：30凯泽斯劳滕汉诺威9619日00：30门兴格拉德巴赫美因茨转发(102)评论(7)12月14日19:32来自新浪微博标签：$LOTOzf$,sports
看了蔡振华的采访，这个在国球上取得巨大成功的人对足球的认识还是挺清醒的，“责任在足协”，也真的打算开始从孩子抓起了。只是不知道他这种理想化的理念能否得到执行，是否会得罪利益相关方呢？$LOTOzf$,sports
春天里不能少了一条上等丝巾，如果预算允许的话建议职场OL投资一条大牌丝巾，显示着女性的品味，完美设计的丝巾怎么系都好看！ 横条纹的T恤衫搭配裸色斗篷风衣，下身搭配黑色紧身裤，职场的强势主管也可以很时尚！$LOTOzf$,woman
中国亚太职业对抗赛开幕式中国队登场亚太队登场，哪个队更有气势标签：$LOTOzf$,sports
10元3件！20元1件！单件劲省41元！满88元还包邮，色彩地带特价区11月9日隆重开区，超乎想象的超低折扣，用最少的钱，变最美的妆！$LOTOzf$,woman
超音波美肤法: 音波振动的速度超过二万赫兹称为超音波，利用每秒一百万次的高速振动有按摩肌肤作用，使用10分钟即可不宜过久，有助保养品确实渗透，并提升肤温促进循环。步骤:1.洗净脸部2.护肤品涂于脸部与探头3.仪器贴于肌肤缓缓画圈移动4.以乳状、凝冻质地最适合5.使用后可敷面膜镇静疏缓6.一周2~3次$LOTOzf$,woman
2011中超充满了太多的不同，包括恒大异军崛起、传统豪强集体低迷、黑马横空出世。几家欢喜几家愁向来是不变的法则：有积极向上的，也有内乱不止的。有富得流油的，也有穷得叮当响的。无论如何，中超经历了重新洗牌之后，将会以全新的面貌迎接明天。今晚19:00，《足球非常道》与您一起梳理2011中超。        $LOTOzf$,sports
"【六个秘方让你肌肤白皙水灵】1、牛奶洗面，对付脸色暗沉；2、周六周日不化妆；3、面霜加维生素E,，可以对抗皱纹滋生；4、保湿面膜上妆前必备，以便应付皮肤干燥；5、萝卜汁有妙用，可对付突然出现的暗疮；6、柠檬片敷眼，让眼袋远离。美容$LOTOzf$",woman
散打名将上官鹏飞比赛受伤后离世，商业散打比赛管理遭质疑。42详情：:标签：$LOTOzf$,sports
接下来是12月12日《篮球先锋报》的封面故事迈阿密，风云再起。上赛季热火三巨头已经杀进了总决赛，而本赛季，他们的目标除了冠军就还是冠军。新赛季热火将有怎样的表现，我们拭目以待。标签：$LOTOzf$,sports
青年文摘播周刊《青年文摘播》周刊第140期试听《弗拉明戈：流浪者的舞蹈》:这性感的后背，婀娜的身姿，弗拉明戈的舞步，如同西班牙人血肉与灵魂的交织。这一夜，举起酒杯畅饮，销魂就在此刻曼妙的舞步中标签：,literature
来选双恋恋靴子脚暖身就暖了。达芙妮：达芙妮冬季新品上市，达芙妮温暖恋靴季哪款鞋子最能打动你的心？哪款鞋子最适合你？选择你心动的款式快与我们一起分享把，现在来参加达芙妮温暖恋靴季活动，把温暖带回家。原文转发原文评论$LOTOzf$,woman
除皱施尔美杨主任介绍：电波拉皮适合30岁以上，出现皮肤皱纹、毛孔粗大、皮肤松弛的人群。主要适合身体下列部位：面部皮肤收紧提升眼部提升祛皱颈部皮肤收紧改善松弛下垂鼻沟纹前额紧致祛皱胸部提升收紧背部收紧塑型腰腹收紧塑形塑造臀型、腿型和手部嫩肤等。:,woman
童鞋们问的门兴多特的比赛，是因为德国人没有给这场的信号，所以风云足球：本周末风云足球直播预告：12月4日22：00尤文切塞纳5日00：30沙尔克04奥格斯堡（本周大多数联赛均在五套直播：3日03：45的热那亚米兰、22：30拜仁不来梅4日01：30斯图加特科隆03：00巴萨莱万特本场比赛在德甲结束后延播5日03：00马洛卡毕尔巴鄂，请以五套预告为准）转发(157)评论(46)12月2日11:16来自新浪微博标签：$LOTOzf$,sports
介读所昨晚在清华听叶先生讲“我心中的诗词家国”，享受在中国诗词之美中。叶先生著作很多，这里分享一些叶嘉莹书单：《唐宋词十七讲》《迦陵论诗丛稿》《迦陵论词丛稿》《迦陵说诗》系列《唐宋词名家论稿》《风景旧曾谙》《多面折射的光影》《迷人的诗谜》《南宋名家词讲录》《唐宋词十七讲》标签：$LOTOzf$,literature
山西晚报，报好人好，真正的山西第一市场化报，推荐晋中人订阅，请联系你身边的送报人员，或简单点，就打发行站范站长的号3200500，当然你也可顺腿时去菜园西街一巷（利虎面馆后）交钱订报，保证上门热情周到服务，保证一年不短你一张报,literature
第25届全国高中生化学竞赛决赛落下帷幕，学而思学员赵宇晨同学斩获决赛金牌。至此，学而思学员囊括了全国高中数学、物理、化学奥林匹克竞赛金牌，取得了“大满贯”:恭喜获奖的选手们也祝愿将要参加各类竞赛的同学们取得更好的成绩标签：$LOTOzf$,campus
《考试周刊》2011年82期目录已发布，请各位老师查看：:50标签：,literature
拉手网女性时尚频道：今日推荐丁家宜的产品要不要总这么给力哦每次都是大套装，配上35个重量级产品，总共花费才不到100元可以用半年哦这次又是主打的丁家宜水能赋活尊享礼盒，76元还包邮太爽了最爱丁家宜产品详情:91原文转发原文评论$LOTOzf$,woman
 ||全球奇闻趣事: 分享给爱美的MM 【敷面膜小技巧】1．洗完澡后敷面效果最好；2．敷面前先用精华液打底；3．鼻梁为中心周围要服帖；4．盖上毛巾加温效果会更好；5．拿下面膜纸后要按摩；6．敷面后涂上乳液锁住水分和养分；7．敷完脸后敷脖子；8．袋里的精华液别浪费用来擦拭手脚肌肤，全身一起作保养咯。$LOTOzf$      美容护肤学堂:经常敷面膜的姐妹应该都知道，美丽日记是出了名的大众面膜，口碑也是很好的，美丽日记的款式比较多，有保湿、美白、修复等等，基本可以满足日常护肤需要，所以要说再给大家推荐面膜的话，美丽日记是最值得推荐的啦 >>http:url.cn/02QYaT,woman
转发微博阿童木童先生：福州聚划算，赶紧来团购啦免费配送仅83元抢购原价120元的杂志铺半年刊（2012年38月刊）套餐：《男人装》《经理人》《时尚:转发(2)评论12月14日09:50来自淘宝网标签：$LOTOzf$,literature
 || 腾讯薇薇: 热烈欢迎，国际足球巨星、世界足球先生 C罗入驻腾讯微博$LOTOzf$      C罗:Hello QQ users! I've opened this account to be closer to my chinese fans and happy to share exclusive contents with you. Stay tuned! [译],sports
 || 腾讯薇薇: 热烈欢迎，国际足球巨星、世界足球先生 C罗入驻腾讯微博$LOTOzf$C罗:Hello QQ users! I've opened this account to be closer to my chinese fans and happy to share exclusive contents with you. Stay tuned! [译],sports
【10本最有价值的职场书】1《天下没有怀才不遇这回事》2《蔡康永的说话之道》3《拆掉思维里的墙》4《金领手记》5《张亚勤：让智慧起舞》6《真实的幸福》7《有些事现在不做，一辈子都不会做了》8《气场》 9《将才》10《机会只爱有准备的大脑》。$LOTOzf$,literature
 国内服饰零售也有类似案例在试点中$LOTOzf$      刘爽:IBM的朋友提到线下零售连锁企业的O2O：网站共享所有门店库存，统一分配线上订单给离消费者最近的门店进行配送/自提。其实美国不少传统零售巨头早就实现了，里面是三个问题：1.系统打通（统一管理门店库粗）；2.统筹管理（分配订单给门店）；3.利益分配（和门店结算分成）。在中国这可是三座大山啊。,woman
" 我投票给 “伊涅斯塔” || barcazhibo: 巴塞罗那足球俱乐部 球迷，快来选出你心目中的本场最佳球员！$LOTOzf$      巴塞罗那足球俱乐部:在伯纳乌的一场伟大的胜利！和大家在腾讯微博分享这一快乐的时刻！ ""投票选出你心中的今晚最佳球员！"".  http:url.cn/02lohs                收起投票选出你心中的今晚最佳球员！",sports
提醒准妈：别把围巾当口罩不要用围巾把嘴、鼻子裹太严。围巾长期围在脸上，嘴巴会处于潮湿状态，致病微生物、细菌和尘埃等就会在上面繁衍生息，被孕妇吸进呼吸道会对身体造成危害。尤其是羊毛、兔毛以及化纤围巾，细小纤维吸入人体，会产生过敏反应，严重会引起过敏性鼻炎、肺炎、支气管哮喘。,woman
美容知道吗？不同类型的香氛，使用方法也有区别：1、香精浓度最高，只需要一“点”就能发挥持久的效果；2、香水是以“线”的方式直接喷出香雾；3、古龙水要达到“面”，在23个部位喷洒；4、体温会带动香气的萦绕，所以喷在下半身比上半身更理想，喷在裙摆，走动时摇曳生香。（12月《美容宝典》）$LOTOzf$,woman
英超-热刺1-1切尔西 阿德破门妖锋争议球扳平  http:url.cn/3psasy  (分享自 腾讯体育 )$LOTOzf$,sports
恭祝《装修情报》新浪微博认证成功。今后，我们依然会坚持以读者的视觉看问题，带来更多，更新，更专业的家装信息来与大家分享。标签：$LOTOzf$,literature
 小时候受到父亲的影响，慢慢自己也喜欢上羽毛球。$LOTOzf$侃体育:我问傅海峰峰哥，你最初是怎么开始羽毛球之路的？？,sports
3000个人本《万寿无疆》预购开始，预购时间11年11月20日——11年12月15日，发货时间为12月25日圣诞节！网络预购地址：http:url.cn/3AZTv9   ==~~~~~网络预购有特制书签和签名！海报将赠送三千个人花降楼海报！天水三千$LOTOzf$,literature
“花田聊聊”第四期活动开始！ 本次命题：“年兽” 活动细则： http:url.cn/24IqrN  这次的优秀作品会刊登在《花田志》上面哦，上次有很遗憾没有得到三位老师点评的朋友，这次不要错过！ 请大家踊跃参与~谢谢对“花田聊聊”的支持和关注$LOTOzf$,literature
多一度热爱 多点燃一个梦想热爱在广东点燃我不是高手，我只是爱灌篮。多一度热爱，从篮球开始$LOTOzf$,sports
【欧联杯 比利亚雷亚尔2-0索非亚列夫斯基 成功晋级】http:url.cn/3zeXt                收起欧联杯 比利亚雷亚尔2-0索非亚列夫斯基 成...$LOTOzf$,sports
扬州生活网亲子乐园改版之际为年轻的妈妈们提供“魅力变身”舞台，打造属于自己的时尚辣妈形象，创造最适合自己的变身奇迹，重拾自信！ 【辣妈SHOW】每周推出一位辣妈，每天推出一张照片，等你来参加，等你来改变！http:url.cn/3QeZsM$LOTOzf$,woman
自强之星我已报名参加由团中央和全国学联主办、中国青年报社承办、新东方教育科技集团协办的2011年度寻访“中国大学生自强之星”活动。请各位好友转发本条微博支持我。$LOTOzf$,campus
上海交大新生杯篮球赛上，经管学院男子篮球队凭借2011级新生姚明同学的神勇发挥以场均净胜对手85.5分的巨大优势轻松夺冠。姚明同学也以场均82.5分、45.6次封盖的表现获得赛事MP。$LOTOzf$,sports
麦蒂正式底薪签约老鹰 联手鹰王挑战首轮魔咒  http:url.cn/2QKTfK  (分享自 腾讯体育 )$LOTOzf$,sports
【进球视频：朴智星突破赢点球 潇洒哥罚进戴帽】CC英超 国际足球  http:url.cn/0xrsz                收起进球视频：朴智星突破赢点球 潇洒哥罚进戴...$LOTOzf$,sports
打造休闲酷炫风黑色帅气十足，别致的大翻领增加设计感，配上的黑色腰带同时体现女性腰线，减少羽绒服的膨胀感，显得职场女性更加干练。此时再搭配上一条个性色彩强烈的豹纹围巾和质感华丽的手提包来提升整体造型的色彩度。:5$LOTOzf$,woman
万生，一个饱含评判激情的主持人；林乐丰，一位胸怀宽广、大连足球的老臣。十二年间，这两位足球圈内人人生轨迹却一直没有交集。今晚19:00，《足球非常道》两位敞开心扉，联手上演对手大戏，值得期待。DLT陈晶        $LOTOzf$,sports
2011五冠王！4年夺13冠！世界足球向巴萨拜服  http:url.cn/1TWGC9  (分享自 腾讯体育 )$LOTOzf$,sports
【新书预售】王小洋 作品《将》单行本3-4卷已上架预售！敌我双方战况激烈，甚至出现了人员伤亡！精彩不容喘息！本次所有参与预售订单除选快递减免3元优惠外还将抽10名获得作者签名！预售地址：http:url.cn/38xgPs$LOTOzf$,literature
贝克汉姆获MLS年度最佳复出球员 回归刷新2大纪录 http:url.cn/28KLRX   从未离开$LOTOzf$,sports
秋瑾女烈士是我极之敬佩的女人！百多年前，秋瑾贵为富夜儿媳，丈夫疼爱，儿女可爱，秋女士为了人民福祗，牺牲个人小爱，投身革命大爱，矢志推翻极端腐败清廷，壮烈成仁的火花，燃烧起全国各地的革命火焰，最终推翻帝制，还我民主自由！可歌可泣！可敬可叹！！$LOTOzf$,woman
组图：卡塔尔1打5被判告负 疯狂犯规仅得4分  http:url.cn/2AAA23   这个难道就是传说中的黑暗技巧！$LOTOzf$,sports
注射除皱是通过在面部注射填充修复皱纹，从而达到除皱的效果，现在注射除皱的材料有很多种，目前常用的注射除皱材料有伊维兰、玻尿酸、胶原蛋白、自体脂肪、botox等，都具有立竿见影的效果，这个也是近来很多人选择注射除皱的原因。欢迎登陆安徽韩美整形医院官方网站进行咨询。互听大队整形美容$LOTOzf$,woman
回复高松婴:体育竞赛更应该公平，为什么网球可以引入鹰眼，许多项目可以引入电视回放，为什么足球就墨守成规？一定要说错判是足球的一部分？难道一个人身上长了个瘤子，不应该做手术去掉，反而说这个瘤子是这个人的一部分吗？ 高松婴:过了！运动项目的竞技场，不应承受如此之重！倒是可以反过来说—$LOTOzf$  体育媒体人老张：承受裁判的误、错判，是一支足球队的本分，黑哨不能成为输球的理由，更不能成为输球的唯一理由。转发(20)|评论(16)6月24日 10:12 来自新浪微博            ,sports
减肥美体减大腿内侧的赘肉做下蹲运动。站坐，两脚离开取肩同宽，脚尖向外，数1234缓慢下蹲，蹲到跟地板诚平言。数5678再迟缓站起。下蹲时脚跟不要抬起，必定要降在地板上，而且动息要慢。每组做15个，天天做34组。坚持就拥有小细腿标签：$LOTOzf$,woman
美丽风情365冬天天气干燥，女孩子的唇部可要注意保护好了，水润性感的唇部对男性可是有很大的吸引力哦。近期发现兰蔻新上市的果冻亮唇蜜不错，于是狠心败了一把。涂上去以后，具有一股甜甜的充满浓郁的果糖香气，而且有种水润润的感觉在这里，第一时间和大家分享哦$LOTOzf$,woman
 他有点太高了，还是适合打篮球$LOTOzf$葛萌萌:我问刘诗雯上次看到你和NBA的德里克-罗斯 打乒乓，觉得罗斯有打乒乓的天赋吗 ,sports
20112012赛季圣诞大战（广州电视竞赛频道转播计划）：12月26日凌晨3：30（卫星直播）迈亚密热火达拉斯牛仔12月26日凌晨6：00（卫星直播）芝加哥公牛洛杉矶湖人吴炜刚、丁伟杰、翁金骅蔡芳裕为你送上粤语评述标签：$LOTOzf$,sports
最美的女人:红枣对女性的7大好处有补脾、养血、安神作用；驻颜祛斑、健美丰肌；注意湿痰及积滞者不宜多食。补血调经，活血止痛，润肠通便；润肺健脾、止咳、补五脏、疗虚损；令人容颜白嫩、皮肤细滑、皱纹减少；保健防病；使皮肤滋润嫩滑、光洁白净。,woman
【最好的运动】①最好减肥运动：游泳，消耗能量大，消除赘肉；②最好健脑运动：弹跳，加强血液循环，供给氧气；③最好防近视运动：乒乓球，使眼睛疲劳消除，改善视力；④最好抗衰老运动：跑步，促进新陈代谢；⑤最好健美运动：体操，加强平衡协调；⑥最好抗高血压运动：散步。				$LOTOzf$,sports
德甲拜仁 【拜仁铁板凳力压舍甫琴科 竟成乌克兰史上最佳】  http:url.cn/2tezHa   C拜仁微博群(*77923798) 国际足球$LOTOzf$,sports
蛋疼的淘宝？$LOTOzf$,woman
转发微博创业家杂志：如果你没有时间看50万字的《乔布斯传》，那么这部40分钟的纪录片或许是个不错的选择，史蒂夫乔布斯的创造力、历史上的成就浓缩在这部影片里，值得收藏。:全球时尚转发(1216)评论(137)12月12日10:17来自新浪微博标签：$LOTOzf$,literature
刚刚看完Walter Isaacson写的乔布斯传记。我觉得这本书里没有涉及的内容也很有意义。书里没有任何关于乔布斯和政府拉项目的事，没有任何乔布斯接待官员的事，没有任何政府官员向乔布斯索取的事。要了解乔布斯的成功，书里提到事和没有提到的事都很重要。        $LOTOzf$,literature
为嘛要开眼角？开眼角手术是使内侧眼皮的褶缝形成与双眼皮皱褶一致的方向，术后能让眼角更好看。由于开眼角手术是一项精细的眼部塑型项目，因为开眼角手术器械精细，术后所有的切口都是与皮肤皱褶重叠。互听大队爱互听(*11670464)开眼角手术后4-5天拆线，7天后便可上妆，对工作和生活是没有影响的。$LOTOzf$,woman
唐榕 早睡早起对身体好。放假的时候多休息，多吃一些补身体的东西。女性最大魅力就是对自己的自信心，有自信的女生才最美丽。展现魅力是通过自己的努力表达，如果只有外表好看，人家会觉得好看，如果你在内心也会有一种坚持，有你自己的想法，我觉得会更好。$LOTOzf$,woman
想读《女人的历史》 ““爱、奋斗和工作——就是女人的历史。”呃，男人的历史该不是“被爱、奋斗和工作”吧” http:url.cn/00Bpv$LOTOzf$,literature
给儿子搞点小发明  $LOTOzf$,literature
东风悦达起亚在2011年的跨越式发展离不开起亚上下对于品质的孜孜以求与矢志不渝。起初韩国车刚进入中国时，不少消费者都说韩国车品质不行，如今这种声音越来越少，因为起亚通过实际行动让消费者清清楚楚的看到了起亚汽车在品质上脱胎换骨的变化，这使得企业在面对2012年时更加信心满满。标签：,literature
当时我选了太极拳豆豆妈爱生活:我记得咱们当时每周就有一天的体育课可以自己选，羽毛球、乒乓球、篮球、排球、或者操场跑圈儿去，现在更高级了啊:幸福，痛苦的体育课转为了锻炼的乐趣北京发布：北京大学附属中学自选体育课如果让您选择一种运动来锻炼身体，您是选择篮球、足球、排球还是瑜伽、健美操、地板球呢？今年秋季开学后北大附中为各年级学生增加了体育课课时。学生可以自主选择喜欢的项目进行体育锻炼。转发(70)评论(43)12月13日10:20来自新浪微博标签：$LOTOzf$,sports
 适合18-25岁女生用的香水！$LOTOzf$我们都是射手座:【适合18-25岁女生用的香水】 1.TOUS TOUCH 亲亲桃丝熊女香  2.Harajuku lovers原宿娃娃 3、Givenchy 小熊蓝宝宝 4.Davidoff Cool Water大卫杜夫冷水  5.Anna sui蝶之恋 6.Guerlain娇兰 7.Marc Jacobs Daisy小雏菊 8.Chanel Chance机遇绿色气息女香。?(做时尚女性先学会穿衣打扮，关注8090跟我学穿衣搭配,woman
号外，号外从12月12日开始，本报微博恩施晚报将每周评选出2名“最关心晚报”奖，届时我们将送出精美礼品。“关心”标准:转发本微博最多、评论最多、恩施晚报最多。恩施晚报拍客部落湖北免费午餐陈地长恩施同城会恩施新闻网硒都农民工张宝训湖北民族学院彼岸社区标签：$LOTOzf$,literature
2011年12期《人民画报》电子版阅读:625标签：$LOTOzf$,literature
 巴萨必胜，有了小法，梅西更如鱼得水了，四核爽翻翻～$LOTOzf$      巴塞罗那足球俱乐部:亚历克斯-桑切斯和法布雷加斯将迎来他们在巴萨的首次国家德比的亮相。,sports
 || 时尚美人团: 各种眼线的画法~转给想画出漂亮眼线的姐妹们吧~$LOTOzf$      女人天生爱美丽:各种眼线的画法~转给想画出漂亮眼线的姐妹们吧~想学穿衣就收听→潮女学穿衣,woman
尊敬的读者们，感谢大家三年来对《人物画报》的厚爱。但因各方面原因，本刊已正式停刊。喜欢《人物画报》的读者请多多关注意林杂志和意林集团旗下的其他刊物吧您的支持是我们每一位同仁努力工作的动力,literature
《安娜贝尔》—— 一部双性人探寻自我的成长史诗！迄今唯一一部获得加拿大所有文学大奖青睐的小说！$LOTOzf$,literature
同学聚会，回意起曾经的我们，真的很美好。我的同学，我爱你们。$LOTOzf$,campus
